time,X_value,Y_value,Z_value
39.516,-0.40476,-7.66646,0.84544
39.553,0.66342,-5.61393,0.46224
39.619,0.71851,-4.66310,0.29698
39.654,0.87418,-6.73959,1.90883
39.703,3.34584,-19.02604,23.79213
39.754,2.18186,-6.15520,3.29555
39.805,3.00575,-10.90213,-3.18059
39.853,-4.90021,-13.51749,9.67827
39.905,8.33706,-7.17787,-0.40715
39.953,-5.12055,-9.98963,-1.22865
40.012,-1.84896,-10.31535,0.22274
40.061,1.46575,-9.65672,1.62143
40.105,0.25866,-9.36453,0.63708
40.160,-0.73527,-10.36086,1.57592
40.205,-0.91011,-9.49146,1.20230
40.259,-0.60115,-9.22322,-0.83826
40.304,-1.42983,-9.75970,0.46703
40.374,0.66103,-10.55964,2.96982
40.405,0.13412,-11.01470,-1.04183
40.457,-0.97956,-11.69009,1.76752
40.504,-4.32062,-11.44101,2.71595
40.558,2.74469,-10.28661,2.03577
40.604,-0.92448,-12.10443,0.31375
40.656,0.79275,-12.03737,-0.57720
40.704,-0.34488,-9.53218,1.77231
40.757,-0.83347,-8.03050,0.53409
40.805,0.28740,-6.17197,0.32572
40.856,1.19990,-5.33610,0.43829
40.903,1.21667,-5.18043,2.02619
40.955,1.00830,-11.79308,10.29379
41.022,-0.30177,-10.78717,5.44148
41.056,1.84177,-7.35032,2.10522
41.104,1.78908,-14.13541,0.55804
41.154,1.35558,-8.43765,-8.60531
41.204,-7.04375,-13.19895,-5.41035
41.267,3.85838,-10.45905,-0.99633
41.303,2.35191,-7.08926,0.66103
41.354,-0.30896,-8.32509,1.81303
