Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
725 Greenwich St. Apartment,725 GREENWICH ST,94133,16228,Office,,,,,,,,,,,87,36.4,114.3,36.4,114.5,87,36.2,113.5,37,116.1,92,32.4,101.6,32.4,101.6
544 2ND ST,544 2ND ST,94107,20202,Office,,,,,,,,,,,,30.9,88.6,30.4,88.1,,34.1,94.6,34.1,94.6,,13.7,38.9,13.7,38.9
1089 MARKET ST,1089 MARKET ST,94103,13250,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton Square Baptist Church,1212 GEARY BLVD,94109,26000,Worship Facility,,,,,,94,21.6,39.8,21.3,39.4,95,20.6,37.3,20.9,37.5,96,17.3,33.5,19.7,36.1,97,16.9,32.7,17.7,33.4
550 INDIANA ST,500 INDIANA ST,94107,157094,Non-Refrigerated Warehouse,,,,,,,,,,,,8.4,26.5,8.4,26.5,,8.3,26,8.2,25.8,99,2.1,6.6,2.1,6.6
166 Geary St.,166 GEARY ST,94108,45203,Office,,,,,,,,,,,90,41.7,110.9,41.9,111,91,42.6,106.8,47.1,112.3,92,36.1,101.9,37,103
2075 FOLSOM ST,2075 FOLSOM ST,94110,57660,Non-Refrigerated Warehouse,,,,,,,41,97.7,38.3,94.8,,29.6,68.2,26.8,64.2,,24.5,58.7,28.9,64.2,,19.3,52.2,19.3,52.2
PMI - 539 Bryant Street,539 BRYANT ST,94107,61839,Office,90,63.6,,61.8,,90,56.7,132.7,55.2,131.2,94,57.1,120.1,58.1,121.1,97,47.3,98.2,53.2,104.4,98,46.5,94.6,49.2,97.5
Herba Enterprises,1150 THOMAS AVE,94124,31250,Distribution Center,,,,,,,,,,,73,12.1,38,12.1,38,55,15.4,47.1,15.4,47.1,63,13.8,42.2,13.5,41.3
981 HOWARD ST,981 HOWARD ST,94103,19250,,,,,,,,,,,,,,,,,,,,,,,,,,
360 3rd ST,360 3RD ST,94107,471807,Office,,,,,,,37.7,104.8,37.7,104.8,69,61.6,155.2,61.6,155.2,84,71.1,188.7,72.2,189.8,82,75.3,199.7,75.3,198.3
625 TOWNSEND ST,625 TOWNSEND ST,94107,55853,Office,96,56.9,,56.9,,97,51.3,126.9,50.8,126.3,96,52.5,131.6,52,132.5,96,51.4,129.9,53,129.4,96,49.7,129.5,50.3,128.8
139 Townsend,139 TOWNSEND ST,94107,58452,Office,80,56.1,,56.9,,72,60.8,172.3,61.6,175.6,,,,,,72,58.5,157.3,60.4,159.3,21,99.8,287.8,101,289
363 CLEMENTINA ST,363 CLEMENTINA ST,94103,11000,Office,,,,,,,,,,,,,,,,100,33.5,77.1,39.3,82.5,100,32.3,74.1,34.1,76.1
245 WINSTON DR,245 WINSTON DR,94132,73491,,,,,,,,,,,,,,,,,,,,,,,,,,
560 Mission Street,560 Mission St,94105,768717.5,Office,91,53.2,166.9,53.2,166.9,91,53.2,167.2,53.2,167.2,91,52.6,165.2,52.6,165.2,92,51.6,162.1,51.6,162.1,93,49.1,154.3,49.1,154.3
Great Highway Inn,1270 GREAT HWY,94122,34778,Hotel,,,,,,,41.9,73.5,41.9,73.5,97,33.7,57.2,33.7,57.2,91,38.8,62.7,37.7,62.4,89,40.2,68.3,39.6,67.7
"3869-SAN FRANCISCO, CA",1754 NORIEGA ST,94122,13862,Retail Store,,,,,,,,,,,90,62.9,193.1,62.5,192.7,89,63.6,196.1,63,192.6,91,63.5,185.5,63.5,185.5
185 Post Street,185 POST ST,94108,28722,Office,,,,,,59,66.5,176.3,66.5,176.3,40,70.1,191.1,70.2,191.3,39,68.5,188.1,70.4,190.1,99,22,54.1,22.7,54.6
Noriega Capital Group LLC,1900 NORIEGA ST,94122,13917,Office,,,,,,,,,,,44,50.5,158.5,50.5,158.5,48,46.2,145,46.2,145,72,36,107.1,36,107.1
KPMG,55 2ND ST,94105,404422,Office,84,47.7,,47.7,,86,48.1,160.7,48.1,160.7,90,49.3,154.8,49.3,154.8,89,50.9,159.9,50.3,158,92,48.2,151.5,48.2,151.5
325 9TH ST,325 9TH ST,94103,16875,Office,,,,,,,,,,,95,21.5,57.7,20.8,58.5,89,23,67.1,22.7,63.8,97,22.4,63.3,22.6,62.2
Crown Point Press,657 HOWARD ST,94105,29280,Manufacturing/Industrial Plant,,,,,,,200.4,448.2,201.5,452,4,86.5,189.8,86.8,189.8,,79.4,178.7,84.6,184.2,,81.5,182.9,84.2,185.7
3801 3RD ST/Bayview Plaza - Building A,1501 Newhall St,94124,41267,Office,,,,,,,,,,,,183.2,319.2,182.7,317.9,,181.7,299,181.7,299,,,,,
150 POTRERO AVE,150 POTRERO AVE,94103,11312,Non-Refrigerated Warehouse,,,,,,,,,,,32,27.6,42,27.6,42,42,21.9,34.9,21.9,34.9,79,10.9,19,10.9,19
701 Sutter Street,701 SUTTER ST,94109,19945,Office,,,,,,,,,,,77,56.5,131.9,56.9,132.3,76,51.1,129.7,55.8,134.6,86,48.5,112.7,51.6,115.9
425 Market Street,425 MARKET ST,94105,1101389,Office,87,59.6,,58.2,,89,59.2,177.8,58.6,177.2,88,56.1,158.9,56.2,159,89,49.8,147.6,51.3,149.1,90,47.6,140.5,48.2,141
1415 Bancroft,1415 BANCROFT AVE,94124,31973,,,,,,,95,3.6,11.3,3.6,11.3,95,3.7,11.6,3.7,11.6,95,3.5,10.9,3.5,10.9,,,,,
Gordon Development,38 TEHAMA ST,94105,77000,,73,70.8,,70.8,,,,,,,,,,,,,,,,,,,,,
6333 GEARY BLVD,6333 GEARY BLVD,94121,22900,Supermarket/Grocery Store,,,,,,,,,,,,,,,,44,143,351,140.2,342.3,44,146.4,355.9,147.3,354.8
501 Folsom Street LLC,501 FOLSOM ST,94105,30750,Office,,,,,,90,34.2,95.7,34.2,95.7,81,45.3,114.6,45.5,114.9,77,44.2,119.1,46.7,121.7,86,37.8,104.2,38,102.9
Dignity-Shrader,1 Shrader Street,94117,190200,,92,229.1,,229.1,,,,,,,,72.9,229,72.9,229,,69.6,218.7,69.6,218.7,,,,,
55 Grant Ave,51 GRANT AVE,94108,15856,Retail Store,,,,,,,,,,,,,,,,,10.2,32.1,9.9,31,,11.2,35,11.2,35
2301 MISSION ST,2301 MISSION ST,94110,19260,,,,,,,,,,,,,,,,,,,,,,,,,,
Radisson Fisherman's Wharf,250 Beach Street,94133,201339,Hotel,,,,,,,,,,,,,,,,31,76.2,132.8,76.2,132.8,32,75,133.8,74.2,131.4
580 GEARY ST,580 GEARY ST,94102,33635,,,,,,,,,,,,,,,,,,,,,,,,,,
690 POTRERO AVE,690 POTRERO AVE,94110,14000,Office,,,,,,,,,,,99,11.6,36.5,11.6,36.5,100,3.1,9.9,4.3,13.6,100,3.8,12.1,4.5,14
2900 GEARY BLVD,2900 GEARY BLVD,94118,10737,Retail Store,,,,,,,,,,,1,405.1,460.8,432.3,489.3,1,323.8,354.9,323.8,354.9,1,323.2,353.5,323.2,353.5
282 2nd Street,606 FOLSOM ST,94105,35415,Office,,,,,,93,59.3,134.1,60,136,91,61.9,141.6,62,141.7,63,92.1,188.7,91.4,186.8,51,92.4,187.8,91.4,184.8
Barneveld Dorman 65-81,65-81 Dorman Ave,94124,37550,Non-Refrigerated Warehouse,,,,,,95,11.4,24.7,11.7,25,95,13.2,25.2,12,23.9,95,11.3,22.5,14.3,25.7,95,12,23.8,12.9,24.8
Town and Country Club,218 STOCKTON ST,94108,18425,Office,,,,,,,,,,,93,26.5,61.6,26.5,61.6,81,41.7,79.7,41.7,79.7,79,44.2,84.1,44.2,84.1
25 14th Street,25 14TH ST,94103,34000,Other,,,,,,,,,,,,85.5,176.5,80.9,173.6,,98.6,201.9,103.7,202,,116.1,215.2,122.6,222.1
San Francisco Food Bank,900 PENNSYLVANIA AVE,94107,55000,Distribution Center,25,44.7,,44.7,,29,44.4,148.4,47.4,158.3,28,45.1,141.5,45.2,141.9,19,51.7,162.2,51.7,162.2,29,44.4,139.2,44.4,139.2
880 Harrison,874 HARRISON ST,94107,33691,Office,,,,,,,,,,,100,18.7,47.3,18.8,47.4,100,15.2,41.4,16.4,42.6,99,22.8,63.3,23.3,63.8
33 COLUMBUS AVE,33 COLUMBUS AVE,94111,14190,,,,,,,,,,,,,,,,,,,,,,,,,,
1079 16TH ST,1079 16TH ST,94107,22389,,,,,,,,,,,,,,,,,,,,,,,,,,
110 THE EMBARCADERO,110 THE EMBARCADERO,94105,12274,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen Properties - 717 California Street,717 CALIFORNIA ST,94108,24166,Office,,,,,,,,,,,,42.5,120.4,42.2,119.3,,40.1,118.2,40.3,116.2,51,77.2,228.3,77.5,226.9
The Monadnock Building,685 MARKET ST,94105,222918,Office,95,39.2,,38.9,,96,40.1,118.8,39.9,118.6,97,35.9,100.1,35.9,100.1,98,28.2,79.7,28.8,80.4,97,38.2,108,38.2,108
Marines Memorial Assn,609 SUTTER ST,94102,168000,Hotel,76,66.2,,66.2,,74,66,154.6,66,154.5,60,67.8,148.2,67.2,147.6,55,65,144.4,65.9,145.4,57,64.3,144.8,64.7,145.2
"625 Polk Street, LLC",625 Polk St,94102,93103,College/University,,,,,,,63.5,148.9,61.6,146.9,,65.7,142.8,64.2,141.2,,68.2,145.5,70.9,148.4,,72.7,149.9,72.7,149.9
164 Townsend St.,164 Townsend St.,94107,33379,,,,,,,,,,,,,,,,,,,,,,,,,,
4201 18TH ST,4201 18TH ST,94114,12000,Supermarket/Grocery Store,,,,,,,,,,,2,364.6,1144.7,364.6,1144.7,3,345.5,1084.8,345.5,1084.8,3,341.5,1072.4,342.4,1075.1
Steve Krieger - 3535 Geary,3535 GEARY BLVD,94118,20500,Retail Store,,,,,,,,,,,,,,,,38,66.1,184.8,66.1,184.8,36,73.2,192.2,75,194.1
The Way Museum Building,145 Jefferson St.,94133,121481,Museum,,93.3,292.8,94.4,296.5,,117.2,319.7,118.3,323.1,,117.1,296.3,117.1,296.3,,119,305.5,116.2,296.9,,113.4,292.6,111.9,287.7
"950 Van Ness Avenue, LLC",930 VAN NESS AVE,94109,50700,College/University,,26.8,,25.1,,,29.4,72.2,29.1,71.9,,30.9,77.4,31.1,77.6,,23.9,69,25.3,70.4,,22.4,70.3,22.4,70.3
180-Stephens Institute,180 NEW MONTGOMERY ST,94105,190066,College/University,,108.7,,108.7,,,108.3,361.8,108.3,361.8,,96.7,303.7,96.7,303.7,,6,18.8,6,18.8,,194.7,417.4,198.3,421.8
98 Battery,98 BATTERY ST,94111,75272,Office,41,106.8,,107.1,,37,110.2,249.1,108.7,247.5,45,97.8,218,97.7,217.6,47,93.5,219.1,93,214.1,54,87,194.8,87.3,192.7
135 GOLDEN GATE AVE,135 GOLDEN GATE AVE,94102,31480,,,,,,,,,,,,,,,,,,,,,,,,,,
1359 PINE ST,1359 PINE ST,94109,81587,Senior Care Community,,,,,,,,,,,81,125,205.4,,,75,128.1,213.1,134.6,219.8,72,133.5,219.5,137.1,223.2
2015 STEINER ST,2015 STEINER ST,94115,21857,Office,,,,,,,,,,,38,78.9,172.6,78,171.5,36,74.6,169.4,75,166.9,28,80.1,180.2,79.3,178
70400357 -- Folsom Str.,1800 FOLSOM ST,94103,62630,Supermarket/Grocery Store,,,,,,51,149.6,439.8,149.6,439.8,57,152,407,152,407,54,141.5,398.8,141.5,398.8,59,133.8,388.4,133.8,388.4
PARC 55 WYNDHAM San Francisco- Union Square,55 CYRIL MAGNIN ST,94102,758635,Hotel,76,87.3,,85.9,,,,,,,,,,,,66,84.6,167.9,85.7,167.4,71,81.2,160.9,81.5,160.2
Orchard Garden Hotel,466 BUSH ST,94108,55751,Hotel,,,,,,89,48.6,146.2,49.2,148.3,,,,,,93,42.4,122.1,42.4,122.1,96,37.5,109,36.9,107
Union Square Building LLC,285 GEARY ST,94102,41622,Office,,,,,,95,26.4,73.9,26.1,73.5,95,27.8,72.1,27.5,71.7,92,28.8,76.2,29.6,77.1,,25.8,68.9,25.9,68.7
816 WASHINGTON ST,816 WASHINGTON ST,94108,13950,Restaurant,,,,,,,,,,,,,,,,,378.4,495.7,378.4,495.7,,346.6,456.8,346.6,456.8
ARE San Francisco No. 26,1700 Owens st,94158,171427,Laboratory,,306.6,,296.5,,,220.4,422.5,211.9,413.6,,204.3,396.9,193.4,385.5,,233.3,482.7,239.9,477.7,,235.1,487.9,237.6,487.1
451 Montgomery Street,451 MONTGOMERY ST,94104,22181,Bank Branch,,,,,,,,,,,52,49.6,135.3,49.9,135.7,52,45,130.1,47.1,132.3,48,53.2,139.9,55.3,142
1338 Mission,1338 MISSION ST,94103,10800,,,,,,,,,,,,66,32.7,98.4,32.3,98,53,36,107.5,34.7,103.6,,,,,
1975 MARKET ST,1975 MARKET ST,94103,10500,,,,,,,,,,,,,,,,,,,,,,,,,,
650 GEARY ST,650 GEARY ST,94109,42800,,,,,,,,,,,,,,,,,,,,,,,,,,
2770 TAYLOR ST,2770 TAYLOR ST,94133,40017,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonhams_220,220 SAN BRUNO AVE,94103,52000,,91,37.2,,36.5,,,,,,,,,,,,,,,,,,,,,
1990 FOLSOM ST,1990 FOLSOM ST,94103,12016,Self-Storage Facility,,,,,,,,,,,,20.3,46.1,20.3,46.1,,15.2,37.5,15.2,37.5,,6.6,19.9,6.6,19.9
530 5TH ST,530 5TH ST,94107,47488,,,,,,,,,,,,,,,,,,,,,,,,,,
135 MISSISSIPPI ST,135 MISSISSIPPI ST,94107,28000,,,,,,,,,,,,,,,,,75,77.3,191,79,189.4,,,,,
Bimbo's 365 Club,1001 COLUMBUS AVE,94133,20058,,,,,,,,,,,,,,,,,,,,,,,,,,
1045 17TH ST,1045 17TH ST,94107,16162,Office,,,,,,,,,,,,14.4,34.5,14.6,34.7,,16.5,45.1,18.1,46.7,98,18.8,53.3,19.1,53.6
Mendell Street,301 MENDELL ST,94124,65998,Distribution Center,51,31.3,,31.3,,57,28.4,57.9,27.8,57.2,46,33.3,68.4,32.2,67.2,,30.6,68.4,32.2,70,47,31.8,71.1,32.4,71.7
601 GRANT AVE,615 GRANT AVE,94108,16800,Office,,,,,,,,,,,,50.2,154.5,50.3,154.5,,47.7,147,47.7,147,,51.6,158.2,51.6,158.2
5420 Geary,5420 GEARY BLVD,94121,10250,Retail Store,,,,,,,,,,,,46.5,120.7,46.9,121.9,,48.6,114.8,48.6,114.8,,47.9,115,47.7,114.2
1517 MISSION ST,1517 MISSION ST,94103,11500,,,,,,,,,,,,,30,88.1,30,88.1,,25.5,78.7,25.5,78.7,,,,,
1515 SOUTH VAN NESS AVE,1515 SOUTH VAN NESS AVE,94110,31680,,,,,,,,,,,,,,,,,,,,,,,,,,
Sobel Design Building,680 8TH ST,94103,84868,Other - Mall,,28,,28,,,33.4,99.1,32.6,98.3,,32.2,85.2,30.7,83.7,,33.4,87.4,33.4,87.4,,32.7,85.4,33.1,85.5
1 ARKANSAS ST,1 ARKANSAS ST,94107,26500,Office,,,,,,,,,,,,31.1,78.9,31.6,80.3,,36.9,92.9,36,90.2,,33,88.1,33.7,88.1
690 Stanyan,1878 Haight St.,94117,21906,Supermarket/Grocery Store,,,,,,,,,,,23,311.3,722.6,306.1,717.1,22,294.2,705.4,299.1,703.6,44,279.3,690.2,277.3,683.9
1263 HOWARD ST,1263 HOWARD ST,94103,34963,Non-Refrigerated Warehouse,,,,,,,,,,,,,,,,,,,,,97,15.6,37.1,17,38.6
400 POST ST,400 POST ST,94102,61807,Retail Store,,,,,,,,,,,,,,,,,144.8,320.6,140.7,307.8,,144.2,320.6,143.3,317.9
1760 VAN NESS AVE,1760 VAN NESS AVE,94109,31983,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixonic,1265 FOLSOM ST,94103,10150,Office,,,,,,,,,,,,41,123.3,40.3,122.6,,34.4,106.5,34.4,106.5,,33,101.5,33.3,101.8
616 GRANT AVE,616 GRANT AVE,94108,13884,,,,,,,,,,,,,,,,,,,,,,,,,,
536 Mission St,536 Mission St,94105,250000,College/University,,,,,,,55.3,131.1,55.3,131.1,,49.4,118.6,49.5,118.7,,44.4,112,44.7,111.3,,40.9,101.5,41.5,102.2
2225 Jerrold LLC,2225 Jerrold Ave,94124,91367,Non-Refrigerated Warehouse,56,12.8,,12.8,,46,16.1,46.4,16,46.3,56,14.3,39.5,14,39.3,66,10.7,32.4,11,32.7,57,12.4,37.8,12.5,38
2765 16TH ST,2765 16TH ST,94110,17160,Non-Refrigerated Warehouse,,,,,,,,,,,95,9.6,20.8,,,87,10.3,26.6,10.3,26.6,87,11.1,27.9,11.8,28.7
1528 PINE ST,1528 PINE ST,94109,40199,Automobile Dealership,,,,,,,,,,,,,,,,,27.5,61.4,27.5,61.4,,29,67.4,29,67.4
1256 MARKET ST,1256 MARKET ST,94102,24804,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD Kabuki Center LLC,1881 POST ST,94115,115708,Movie Theater,,,,,,,,,,,,116.7,257.7,114.2,255.1,,108.3,246.5,111.6,250.1,,107.6,242.7,108.7,242.9
Garfinkle Property,900 MARIN ST,94124,30000,,,,,,,,0.6,2,0.6,2,,0.4,1.4,0.4,1.4,,1.4,4.3,1.4,4.3,,,,,
1144 HARRISON ST,1144 HARRISON ST,94103,148429,,,,,,,,,,,,,,,,,,,,,,,,,,
505 Montgomery,505 MONTGOMERY ST,94111,374979,Office,84,55.8,,55.8,,84,51.6,141.5,52.1,144.2,82,56.2,141.4,56,140.7,81,53.6,140,54.8,139.6,84,52.1,135.9,53.1,136
116 NATOMA ST,116 NATOMA ST,94105,18840,Office,,,,,,,,,,,,83,124.4,83.4,124.8,,78.8,119.7,81.8,122.8,,79.5,118.6,80.5,119.8
899 Howard Street,899 HOWARD ST,94103,94505,Retail Store,6,72.5,,72.5,,4,75.3,251.5,76,253.8,6,70.9,222.8,70.9,222.8,5,66.7,209.4,66.7,209.4,9,60.8,191,59.9,187.9
Holy Virgin Cathedral,6222 GEARY BLVD,94121,16500,Worship Facility,,,,,,,,,,,59,41.8,64,41.8,64,83,24.9,40.2,30.4,47.2,80,27.2,44.1,29.5,46.5
Petco Building,2598 TAYLOR ST,94133,14400,,,,,,,,,,,,,27.2,84.6,27.2,84.6,,8.7,26.7,8.7,26.7,,,,,
303 Sacramento Street,251 FRONT ST,94111,15000,Office,,,,,,,,,,,1,179.8,380.8,179.4,378.3,1,173.7,374.3,176.1,371.5,,145.9,314.8,146.3,312.3
150 EXECUTIVE PARK BLVD,150 EXECUTIVE PARK BLVD,94134,102294,,,,,,,,,,,,94,41.4,97.3,40.6,97,93,38.7,97.5,39,95.7,,,,,
1522 BUSH ST,1522 BUSH ST,94109,11533,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Embarcadero Center,2 EMBARCADERO CENTER,94111,1124443,Office,84,87.6,,87.6,,83,86.4,227.4,85.7,226.6,85,80,204.1,80.3,204.3,87,71.3,190.9,73.9,193.6,91,65.4,176.6,66.6,177.9
924 SANSOME ST,924 SANSOME ST,94111,20832,Restaurant,,,,,,,,,,,,40.4,64.8,40.5,64.9,,35,57.9,35,57.9,,32.8,53.7,32.8,53.7
44 Montgomery,44 MONTGOMERY ST,94104,760565,Office,95,43.6,,43.6,,,,,,,97,41.7,129.3,41.6,129.2,97,40.5,125.7,40,124.1,92,66.1,149.8,66.1,149.8
760 Market Street (The Phelan Building),750 MARKET ST,94108,334405,Office,97,29.8,,29.4,,96,41,93.5,41.3,93.8,,29.5,70.2,28.5,69,,28.1,73.4,30.9,76.7,99,26.8,74.6,27,74.1
230 California,230 CALIFORNIA ST,94111,45574,Office,,,,,,,169.9,337.1,168.1,335.3,8,170.9,325.3,171.2,325.6,3,186.8,372.5,189.8,375.6,4,177.5,363.4,179.3,365.3
117 POST ST,117 POST ST,94108,24408,,,,,,,,,,,,,,,,,,,,,,,,,,
Interland - 1355 Sansome,1355 SANSOME ST,94133,66700,Office,91,72.2,,72.8,,89,76.2,194.9,75.4,194,,69.4,173,69.6,173.2,85,83.3,198,83.3,198,75,81.4,194.1,82,193.3
690 FOLSOM ST,690 FOLSOM ST,94105,26937,,,,,,,,,,,,,,,,,,,,,,,,,,
942 MISSION ST,942 MISSION ST,94103,16500,,,,,,,,,,,,,,,,,,,,,,,,,,
China Basin,185 BERRY ST,94107,1038496,Office,70,142.5,,142.6,,65,134.9,386,135.5,389,,,,,,88,110.9,308.8,110.9,308.8,93,107,288.1,107.6,288.7
135 4th St,763 MISSION ST,94103,357659,Mixed Use Property,,,,,,,132.5,300.1,128.8,296.2,,158.7,364.5,154.7,360.3,,143.2,340.1,149.5,346.7,,141.1,337.3,,
865 STOCKTON ST,865 STOCKTON ST,94108,13136,,,,,,,,,,,,,,,,,,,,,,,,,,
195 ERIE ST,195 ERIE ST,94103,20110,Mixed Use Property,,,,,,,,,,,,33.2,104.1,33.2,104.1,,33.7,105.8,33.7,105.8,,35.2,110.5,34.8,109.1
1625 VAN NESS AVE,1625 VAN NESS AVE,94109,88202,Office,,,,,,77,53.7,147.1,53.7,148.4,71,59.3,158,59.3,157.8,64,63.1,168.3,61.9,164.6,69,59.6,161.4,59.6,161.4
1 GRANT AVE,1 GRANT AVE,94108,24408,,,,,,,,,,,,,,,,,13,80.7,253.4,79.7,250.1,,,,,
PCMB,447 SUTTER ST,94108,88443,Office,99,19.7,,20.3,,99,19.3,58.5,19.2,58.4,88,54.2,100.2,54.3,100.3,96,33.1,74.4,33.1,74.4,98,25.9,56.4,27.4,58.2
157 BLUXOME ST,157 BLUXOME ST,94107,16275,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Van Ness Avenue,2000 VAN NESS AVE,94109,54030,Medical Office,69,99,,99,,,,,,,71,86.8,128.9,87.3,129.3,80,66.8,102.6,71.3,107.4,87,58.3,87.8,61.7,91.4
222 SUTTER ST,222 SUTTER ST,94108,138400,Office,,,,,,88,37.9,118.9,38.4,120.6,88,37.4,117.4,37.3,117.2,,35.7,112,35.7,112,,32.5,101.9,32,100.6
Full Life Christian Center,3535 BALBOA ST,94121,15350,Worship Facility,,,,,,,,,,,91,15.3,38.9,15,38.7,89,14.2,37.5,14.6,37.9,90,14.5,37.5,14.5,37.5
Rialto Building,116 NEW MONTGOMERY ST,94105,139024,Office,98,34.3,,34.3,,98,32.2,94.8,31.3,93.7,92,51.1,126.5,51.3,126.7,98,35.4,100,35.3,99.9,95,43.6,112,44.8,113.4
816 MISSION ST,816 MISSION ST,94103,28516,,,,,,,,,,,,82,42.4,102.2,40.9,100.6,67,49.7,122.8,54.4,127.7,,,,,
85 5TH ST,85 5TH ST,94103,69100,Hotel,,,,,,,,,,,18,97.1,202.4,98.1,205.5,12,98.6,207.5,96.6,201.1,12,100.7,211,99.7,207.8
Apparel Dorman 4-90,50 Dorman Ave,94124,50422,Non-Refrigerated Warehouse,99,22.4,22.4,22.4,22.4,99,21,21,21,21,100,9.4,9.4,9.4,9.4,100,9.6,9.6,11.5,11.5,100,8.3,8.3,8.3,8.3
1700 Montgomery,1700 MONTGOMERY ST,94111,141787,Office,100,26.4,,28,,94,37.8,99.8,37.3,99,88,56.8,141.7,56.4,139.8,,,,,,86,57,147.6,57.5,146.5
The Women's Building,3543 18th St,94110,30000,Mixed Use Property,,,,,,,48.2,85.1,47.6,84.5,,46.4,82.9,45.4,81.8,,41.1,77,43,79,,41.2,77.3,41.8,78
355 SUTTER ST,355 SUTTER ST,94108,16593,,,,,,,,,,,,,,,,,,,,,,,,,,
140 Geary Street,132 GEARY ST,94108,52596,Office,98,29.1,85.2,28.7,84.8,98,31.4,87.6,31.2,87.4,96,36.1,99.7,36.2,99.8,97,30.5,91.5,31.3,92.4,90,41.1,123.6,41.4,124
540-Stephens Institute,540 POWELL ST,94108,30900,College/University,,,,,,,55.3,126.7,56.4,137.6,,57.1,97.9,57.5,98.4,,39.8,83.3,46.1,94.7,,42.9,96.1,44.7,97.9
375 NEWHALL ST,375 NEWHALL ST,94124,42200,Data Center,,,,,,1,611,2022.2,610.8,2021.9,1,339.4,1065.7,339.4,1065.7,1,707.7,880.1,707.7,880.1,1,702.5,958.2,702.5,958.2
2140 FOLSOM ST,2140 FOLSOM ST,94110,35952,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple Nightclub,55 NATOMA ST,94105,41400,Mixed Use Property,,,,,,,32.3,82.1,32.3,82.1,,27,73.6,27,73.6,,21.1,61.5,21.1,61.5,,27.7,82.8,27.7,82.8
2750 HYDE ST,655 Beach St,94109,132748,Office,,,,,,,,,,,78,78.9,194.7,79.1,194.9,74,78.3,201.6,81.3,201.9,72,81.6,206.9,80.3,203
200 California,200 CALIFORNIA ST,94111,23770,Office,,,,,,,,,,,44,121.3,242,121.8,242.2,65,92.1,189.2,98.2,195.7,74,82.1,168.7,83.6,168.3
Phoenix Hotel,601 EDDY ST,94102,21895,,,,,,,,,,,,52,189.8,297.7,190.3,298.2,56,177,286.1,185,296.3,,,,,
840 FOLSOM ST,840 FOLSOM ST,94103,10811,,,,,,,,,,,,,,,,,,,,,,,,,,
Aida Hotel,1083 MARKET ST,94103,54882,Hotel,92,57.4,,50.1,,89,62.1,84.1,70.4,92.8,96,53.6,66.2,48.9,61.2,96,46.9,59.2,54.7,67.5,97,46.8,58.5,50.1,61.9
Mission Motors,1177 HARRISON ST,94103,15800,,,,,,,,,,,,,,,,,,,,,,,,,,
101 Second St,101 2ND ST,94105,457337,Office,94,40.6,,40.6,,95,40.5,135.3,40.2,134.3,91,45.2,134.8,45.2,134.8,93,43,127.1,43,127.1,94,41.5,123.3,41.5,123.3
855 Harrison Street,855 Harrison St.,94107,41504,Retail Store,,,,,,65,53.5,136.6,53.8,137.6,56,55.2,151,55.6,151.4,64,44.8,130.8,46.7,132.8,83,38.8,88.5,38.8,88.5
Interland - 1160 Battery Street,1160 BATTERY ST,94111,215400,Office,74,92.8,,93,,72,96,226.2,98.2,233.5,60,109.8,241.7,108.9,238.7,66,97.2,221.4,99.3,221.2,71,90.9,208.1,90,205.4
Chen Properties - 461 Bush St.,461 BUSH ST,94108,18985,Office,,,,,,,,,,,,,,,,,17.4,50.5,18.3,51.4,97,20.1,60.1,20.3,60.3
507 CLEMENT ST,507 CLEMENT ST,94118,34569,,,,,,,,,,,,,,,,,,,,,,,,,,
"Obscura Digital, LC",2130 3rd St.,94107,35902,Office,,,,,,90,33.4,86.8,32.5,84.5,87,37,92.8,37.1,93,78,37.9,105.5,37.9,105.5,83,35.4,99.2,35.9,99.4
2554 MISSION ST,2554 MISSION ST,94110,86451,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO TOYOTA VAN NESS,1701 VAN NESS AVE,94109,24000,Automobile Dealership,,,,,,,,,,,,22.7,71.3,22.7,71.3,,21.2,66.6,21.2,66.6,,17.6,55.4,17.6,55.4
