store,coupon,discount,total
Chrome Industries,No Coupons Available,1.0% Cash Back,
Chronicle Books,1 Coupon,5.0% Cash Back,"$2,178 "
City Sights DC,5 Coupons,7.5% Cash Back,
CitySights NY,23 Coupons,7.5% Cash Back,
CitySightseeing New York,1 Coupon,7.5% Cash Back,
Claim Jumper,No Coupons Available,In-Store Cash Back only,
Claire's,6 Coupons,3.5% Cash Back,"$20,099 "
Clarins,2 Coupons,5.0% Cash Back,
Clarion Hotel,No Coupons Available,2.5% Cash Back,"$12,670 "
Clarisonic,5 Coupons,6.0% Cash Back was 4.0%,
Clarks,6 Coupons,4.0% Cash Back,
Cle de Peau Beaute,5 Coupons,4.0% Cash Back,
CleanerFilters,4 Coupons,7.5% Cash Back,
Clinique,6 Coupons,4.0% Cash Back,"$575,553 "
Cliradex,1 Coupon,5.0% Cash Back,
Cloud9 Living,No Coupons Available,4.5% Cash Back,
cloudswave,6 Coupons,20.0% Cash Back,
Club Monaco,5 Coupons,2.5% Cash Back,
Coach,7 Coupons,5.0% Cash Back was 1.0%,
Coastal.com,1 Coupon,6.0% Cash Back,
Coffee Bean & Tea Leaf,4 Coupons,4.0% Cash Back,"$8,347 "
Coggles,1 Coupon,4.0% Cash Back,
Coldwater Creek,2 Coupons,2.5% Cash Back,"$320,033 "
Cole Haan,13 Coupons,5.0% Cash Back was 2.5%,"$208,859 "
Collage.com,1 Coupon,2.5% Cash Back,
Collections Etc.,1 Coupon,2.5% Cash Back,"$131,138 "
Colorescience,No Coupons Available,6.0% Cash Back,"$1,487 "
Colorful Images,4 Coupons,1.5% Cash Back,"$29,695 "
Columbia Sportswear,24 Coupons,5.0% Cash Back,
ComboInk,6 Coupons,2.5% Cash Back,
Comfort Inn,1 Coupon,2.5% Cash Back,
Comfort Suites,1 Coupon,2.5% Cash Back,
Compact Appliance,1 Coupon,3.5% Cash Back,
CompAndSave,1 Coupon,2.5% Cash Back,
Competitive Cyclist,11 Coupons,3.5% Cash Back,
Compex,1 Coupon,5.0% Cash Back,
Condor,7 Coupons,Up to $9.00,
Conrad,4 Coupons,2.5% Cash Back,
ContactsDirect,31 Coupons,7.0% Cash Back,
The Container Store,5 Coupons,4.0% Cash Back,
Converse,No Coupons Available,Up to 6.0%,"$327,167 "
Cookies By Design,9 Coupons,2.0% Cash Back,"$16,159 "
CookiesKids.com,10 Coupons,2.5% Cash Back,"$19,138 "
Coordinates Collection,5 Coupons,5.0% Cash Back was 2.0%,
Corel,9 Coupons,Up to 11.25%,
Corelle,5 Coupons,2.5% Cash Back,"$4,072 "
Cosabella,5 Coupons,5.5% Cash Back,
Cosme-De.com,16 Coupons,5.0% Cash Back,
Cost Plus World Market,18 Coupons,4.0% Cash Back,
Costco,No Coupons Available,No Discount,
Costume Craze,No Coupons Available,4.0% Cash Back,"$29,970 "
Costume Discounters,2 Coupons,4.0% Cash Back,
Costume SuperCenter,4 Coupons,2.5% Cash Back,
Cotopaxi,4 Coupons,12.5% Cash Back,
Cotton On,25 Coupons,3.5% Cash Back,
Country Habit,6 Coupons,4.0% Cash Back,
Country Inns & Suites,4 Coupons,3.5% Cash Back,
Country Outfitter,4 Coupons,2.5% Cash Back,"$50,930 "
Coursera,6 Coupons,5.0% Cash Back,
Courtyard,2 Coupons,2.5% Cash Back,
Coveroo,2 Coupons,3.5% Cash Back,
Coyuchi,5 Coupons,1.0% Cash Back,
Crabtree & Evelyn,15 Coupons,5.0% Cash Back,"$99,416 "
Craft Beer Club,2 Coupons,5.0% Cash Back,
Crane & Co,1 Coupon,3.0% Cash Back,
Crate and Barrel,7 Coupons,1.0% Cash Back,"$650,596 "
Crayola,No Coupons Available,5.0% Cash Back,"$6,206 "
Crazy 8,3 Coupons,1.0% Cash Back,"$47,187 "
Creative Recreation,10 Coupons,4.0% Cash Back,"$1,472 "
CreditRepair.com,No Coupons Available,$37.50 Cash Back,
Crescent Electric Supply,1 Coupon,3.5% Cash Back,
Cricut,10 Coupons,2.0% Cash Back,"$10,424 "
Crock-Pot,6 Coupons,4.0% Cash Back,
Crocs,46 Coupons,5.0% Cash Back,"$543,881 "
Cross,7 Coupons,4.5% Cash Back,
Crowne Plaza,6 Coupons,4.5% Cash Back,
CruiseDirect,31 Coupons,2.0% Cash Back,
Cruiser Customizing,2 Coupons,2.5% Cash Back,
Crutchfield,18 Coupons,2.0% Cash Back,
Ctrip,1 Coupon,2.5% Cash Back,"$4,481 "
Cubavera,9 Coupons,4.0% Cash Back,"$4,715 "
Cuddl Duds,21 Coupons,6.0% Cash Back,"$1,415 "
CuffLinks.com,4 Coupons,5.0% Cash Back,
Cupshe,5 Coupons,5.0% Cash Back,"$2,928 "
Current Labels,No Coupons Available,2.5% Cash Back,"$4,959 "
Current/Elliott,6 Coupons,3.5% Cash Back,
Curtainworks,3 Coupons,5.0% Cash Back,
Cutter & Buck,3 Coupons,2.5% Cash Back,
CyberLink,24 Coupons,7.5% Cash Back,
Cycle Gear,14 Coupons,2.5% Cash Back,
D'Artagnan,2 Coupons,3.5% Cash Back,"$7,318 "
DailyBurn,1 Coupon,Up to 5.0%,
